Jour,Distance,Denivele,Duree,VMoy,VMax,DistMoy,DeniveleMoy,DureeMoy,VMoyCumul,DCumul,DeniveleCuml,DureeCmul,DiffDistance,DiffDev,DiffCumulDist,DiffCumulDev
1,81,1873,8:30:00,10,52,81,1873,8:30:00,9,81,1873,8:30:00,11,373,11,373
2,77,1245,6:43:00,11,43,79,1559,7:36:30,10,158,3118,15:13:00,7,-255,18,118
3,70,1795,7:42:00,9,47,76,1638,7:38:20,10,228,4913,22:55:00,0,295,18,413
4,48,946,4:54:00,10,53,69,1465,6:57:15,10,275,5859,27:49:00,-22,-554,-5,-141
5,145,1371,9:02:00,16,51,84,1446,7:22:12,11,421,7230,36:51:00,75,-129,71,-270
6,58,1059,4:49:00,12,47,80,1382,6:56:40,11,478,8289,41:40:00,-12,-441,58,-711
7,75,1602,7:07:00,11,41,79,1413,6:58:09,11,553,9891,48:47:00,5,102,63,-609
8,94,2067,8:50:00,11,54,81,1495,7:12:08,11,646,11958,57:37:00,24,567,86,-42
9,59,1213,5:07:00,12,63,78,1463,6:58:13,11,706,13171,62:44:00,-11,-287,76,-329
10,84,1959,7:39:00,11,50,79,1513,7:02:18,11,790,15130,70:23:00,14,459,90,130
11,100,1794,8:40:00,12,54,81,1539,7:11:11,11,890,16924,79:03:00,30,294,120,424
12,88,1708,7:55:00,11,54,82,1553,7:14:50,11,978,18632,86:58:00,18,208,138,632
13,70,1981,6:28:00,9,51,81,1586,7:11:14,11,1048,20613,93:26:00,0,481,138,1113
14,68,1558,07:41:03,9,51,80,1584,7:13:22,11,1116,22171,101:07:03,-2,58,136,1171
15,57,1384,7:45:29,9,47,78,1570,7:15:30,11,1173,23555,108:52:32,-13,-116,123,1055
16,142,2556,11:14:00,13,54,82,1632,7:30:25,11,1315,26111,120:06:32,72,1056,195,2111
17,67,631,4:12:00,16,49,81,1573,7:18:44,11,1382,26742,124:18:32,-3,-869,192,1242